RF	TD	H
10	0	5
10	2	5
10	0	5
10	2	4
10	0	4
10	0	5
10	2	6
10	2	4
10	0	5
10	0	4
10	0	6
10	0	6
10	0	4
10	0	4
10	0	4
10	0	5
10	0	4
10	0	4
10	0	3
10	0	6
10	0	4
10	0	5
10	0	6
10	0	5
10	0	4
10	0	4
10	0	5
10	0	4
10	0	5
10	0	4
10	0	4
10	0	3
10	0	5
10	0	3
10	2	4
10	0	4
10	0	6
10	0	6
10	0	4
10	0	5
10	0	6
10	0	3
10	0	5
10	4	4
10	0	5
10	0	6
10	0	4
10	0	4
10	0	5
10	0	6
10	0	5
10	0	5
10	0	3
10	0	4
10	0	4
10	0	6
10	6	5
10	2	5
10	0	5
10	0	6
10	0	4
10	0	4
10	0	4
10	0	4
10	0	5
10	6	4
10	0	5
10	0	4
10	0	4
10	0	4
10	0	5
10	0	7
10	0	5
10	0	4
10	0	4
10	0	5
10	0	4
10	0	4
10	0	6
10	0	4
10	0	4
10	0	5
10	0	5
10	0	5
10	0	4
10	0	5
10	0	5
10	12	5
10	2	3
10	0	4
10	0	4
10	0	5
10	0	4
10	0	6
10	0	6
10	0	5
10	0	4
10	0	4
10	0	4
10	0	3
12	0	6
12	4	5
12	0	3
12	0	5
12	0	6
12	2	7
12	4	5
12	0	4
12	0	4
12	0	5
12	0	5
12	0	4
12	0	5
12	4	3
12	0	6
12	0	6
12	0	6
12	0	4
12	0	5
12	12	6
12	0	4
12	0	5
12	0	4
12	0	4
12	0	5
12	0	4
12	0	5
12	0	4
12	0	4
12	0	5
12	4	6
12	0	7
12	0	7
12	0	6
12	0	4
12	12	6
12	0	7
12	0	5
12	10	7
12	2	6
12	0	4
12	0	4
12	4	7
12	0	7
12	0	5
12	0	5
12	0	5
12	0	4
12	0	4
12	0	5
12	0	3
12	24	8
12	0	5
12	0	3
12	0	5
12	0	5
12	0	4
12	0	4
12	2	6
12	0	7
12	0	5
12	0	6
12	2	5
12	2	6
12	0	5
12	0	4
12	2	7
12	0	4
12	0	4
12	0	5
12	0	5
12	0	4
12	0	5
12	0	6
12	0	4
12	0	5
12	0	7
12	2	5
12	0	8
12	0	7
12	4	4
12	0	4
12	0	6
12	2	5
12	0	5
12	12	7
12	0	7
12	0	5
12	0	5
12	0	8
12	12	6
12	0	5
12	0	4
12	2	5
12	0	5
12	12	4
12	0	4
12	0	4
12	0	6
12	0	5
14	0	5
14	0	5
14	0	7
14	0	4
14	0	6
14	0	5
14	4	6
14	0	6
14	2	6
14	0	7
14	0	6
14	0	6
14	0	5
14	0	5
14	0	5
14	0	7
14	0	4
14	0	4
14	4	6
14	8	6
14	0	5
14	0	6
14	2	4
14	0	5
14	0	5
14	0	5
14	0	7
14	0	6
14	0	8
14	0	7
14	2	7
14	10	5
14	6	5
14	0	6
14	0	6
14	0	5
14	0	7
14	0	7
14	0	7
14	0	6
14	2	6
14	0	6
14	0	5
14	2	5
14	0	5
14	0	5
14	0	5
14	8	5
14	0	7
14	0	5
14	4	4
14	0	6
14	0	4
14	2	5
14	0	6
14	0	5
14	0	6
14	0	5
14	2	7
14	0	5
14	0	5
14	0	6
14	4	5
14	12	6
14	0	5
14	0	5
14	0	4
14	0	7
14	4	6
14	0	5
14	0	6
14	0	7
14	0	8
14	0	7
14	0	6
14	0	5
14	0	7
14	0	5
14	2	6
14	32	6
14	0	6
14	0	7
14	0	6
14	0	7
14	0	5
14	2	7
14	0	6
14	2	6
14	0	6
14	0	7
14	2	7
14	2	5
14	0	7
14	0	5
14	0	6
14	0	5
14	0	6
14	2	5
14	2	6
14	0	6
16	0	7
16	0	6
16	8	6
16	0	5
16	8	7
16	0	9
16	6	5
16	4	8
16	2	6
16	0	5
16	0	7
16	2	7
16	0	7
16	0	5
16	0	7
16	0	5
16	0	6
16	0	7
16	0	6
16	4	6
16	2	8
16	0	7
16	0	6
16	2	4
16	2	6
16	0	7
16	0	7
16	22	7
16	0	7
16	0	6
16	0	9
16	0	6
16	0	8
16	0	5
16	0	8
16	0	6
16	0	5
16	0	6
16	14	7
16	4	7
16	0	8
16	0	6
16	0	6
16	2	6
16	14	8
16	0	6
16	0	8
16	18	6
16	0	7
16	8	6
16	0	7
16	0	6
16	0	7
16	2	7
16	0	7
16	2	8
16	0	5
16	0	6
16	0	8
16	2	7
16	4	7
16	10	7
16	0	8
16	2	6
16	0	5
16	4	7
16	8	8
16	0	6
16	4	7
16	2	9
16	4	5
16	0	9
16	0	6
16	0	6
16	0	4
16	0	6
16	4	6
16	0	5
16	0	5
16	2	7
16	2	6
16	0	7
16	0	7
16	2	7
16	0	5
16	0	5
16	0	5
16	2	6
16	0	5
16	2	7
16	0	7
16	2	6
16	4	7
16	0	7
16	0	5
16	0	5
16	0	6
16	2	6
16	2	6
16	2	5
18	0	6
18	0	5
18	12	8
18	16	8
18	0	6
18	2	6
18	8	7
18	0	7
18	0	8
18	6	6
18	0	7
18	0	7
18	0	6
18	0	7
18	0	6
18	6	7
18	2	7
18	0	7
18	20	7
18	2	6
18	0	6
18	0	7
18	0	7
18	0	6
18	0	6
18	0	7
18	6	7
18	6	7
18	16	6
18	0	6
18	0	6
18	4	6
18	0	6
18	0	6
18	2	8
18	0	6
18	8	7
18	2	6
18	18	9
18	0	6
18	4	8
18	8	6
18	0	7
18	4	8
18	6	7
18	2	5
18	4	7
18	0	7
18	0	6
18	2	7
18	0	7
18	2	7
18	0	7
18	2	9
18	2	6
18	0	7
18	2	8
18	0	7
18	4	8
18	4	9
18	0	5
18	0	7
18	30	5
18	12	7
18	6	6
18	0	6
18	2	7
18	2	8
18	2	8
18	8	6
18	4	9
18	0	8
18	0	8
18	14	8
18	10	7
18	0	9
18	0	6
18	4	7
18	2	7
18	0	8
18	4	8
18	0	7
18	0	6
18	2	7
18	0	5
18	12	6
18	2	7
18	0	5
18	0	7
18	0	7
18	2	8
18	0	7
18	4	7
18	0	7
18	8	7
18	2	8
18	0	8
18	0	6
18	2	7
18	6	9
2	0	1
2	0	1
2	0	2
2	0	1
2	0	1
2	0	1
2	0	3
2	0	1
2	0	2
2	0	1
2	0	1
2	0	1
2	0	1
2	0	1
2	0	1
2	0	3
2	0	1
2	0	1
2	0	1
2	0	1
2	0	1
2	0	1
2	0	1
2	0	3
2	0	1
2	0	2
2	0	1
2	0	1
2	0	1
2	0	1
2	0	1
2	0	1
2	0	1
2	0	1
2	0	1
2	0	1
2	0	1
2	0	1
2	0	1
2	0	1
2	0	1
2	0	1
2	0	1
2	0	1
2	0	1
2	0	1
2	0	1
2	0	1
2	0	1
2	0	1
2	0	1
2	0	1
2	0	1
2	0	1
2	0	1
2	0	1
2	0	1
2	0	1
2	0	1
2	0	1
2	0	1
2	0	1
2	0	1
2	0	1
2	0	1
2	0	1
2	0	1
2	0	1
2	0	1
2	0	1
2	0	1
2	0	1
2	0	1
2	0	1
2	0	1
2	0	1
2	0	1
2	0	1
2	0	1
2	0	1
2	0	1
2	0	1
2	0	1
2	0	1
2	0	1
2	0	1
2	0	1
2	0	1
2	0	1
2	0	1
2	0	1
2	0	1
2	0	1
2	0	1
2	0	1
2	0	1
2	0	1
2	0	1
2	0	1
2	0	1
20	4	8
20	0	7
20	2	6
20	2	7
20	0	9
20	2	9
20	2	6
20	0	10
20	4	9
20	2	8
20	4	7
20	4	6
20	12	8
20	0	8
20	4	6
20	0	9
20	2	8
20	0	7
20	0	8
20	10	6
20	0	7
20	0	7
20	6	6
20	2	8
20	0	8
20	2	6
20	4	6
20	14	8
20	4	8
20	4	7
20	10	6
20	14	8
20	2	8
20	4	8
20	18	8
20	10	8
20	4	7
20	2	7
20	0	7
20	4	8
20	0	8
20	4	9
20	0	8
20	2	8
20	4	7
20	10	9
20	0	8
20	0	7
20	6	7
20	2	7
20	0	7
20	0	8
20	0	7
20	4	6
20	14	10
20	6	7
20	6	9
20	2	6
20	0	7
20	2	7
20	4	8
20	2	7
20	0	7
20	8	7
20	2	9
20	6	9
20	14	6
20	4	7
20	0	7
20	16	8
20	12	7
20	0	6
20	2	7
20	0	7
20	0	7
20	2	6
20	0	8
20	0	7
20	0	6
20	2	6
20	2	9
20	4	7
20	4	8
20	2	9
20	6	8
20	2	7
20	4	7
20	0	8
20	2	9
20	0	7
20	2	7
20	4	8
20	0	7
20	10	7
20	4	7
20	2	8
20	6	6
20	2	7
20	0	7
20	12	9
22	0	8
22	4	8
22	2	8
22	2	8
22	16	7
22	0	8
22	8	7
22	2	7
22	12	9
22	16	7
22	6	8
22	2	9
22	0	7
22	2	7
22	2	5
22	22	7
22	0	5
22	0	8
22	0	7
22	0	7
22	2	8
22	0	8
22	4	7
22	0	7
22	0	8
22	8	7
22	10	8
22	8	9
22	2	7
22	2	8
22	2	8
22	0	7
22	4	9
22	0	6
22	4	7
22	0	8
22	4	8
22	0	7
22	2	8
22	0	7
22	0	7
22	0	6
22	10	9
22	12	10
22	0	8
22	8	9
22	12	8
22	0	8
22	8	9
22	2	7
22	8	6
22	0	8
22	0	5
22	10	7
22	2	9
22	20	8
22	2	7
22	8	7
22	0	7
22	2	8
22	0	10
22	4	7
22	14	8
22	4	8
22	8	8
22	0	10
22	2	9
22	2	7
22	6	9
22	10	8
22	16	8
22	8	6
22	0	9
22	0	7
22	20	8
22	12	6
22	22	7
22	10	7
22	2	6
22	8	7
22	2	9
22	2	7
22	8	7
22	24	8
22	10	8
22	4	7
22	0	7
22	26	7
22	2	8
22	16	9
22	4	7
22	0	8
22	14	8
22	0	9
22	10	7
22	2	7
22	12	9
22	8	7
22	0	8
22	0	7
24	0	7
24	2	8
24	6	9
24	0	8
24	0	9
24	10	8
24	0	6
24	8	9
24	6	9
24	4	7
24	6	10
24	12	8
24	4	9
24	2	8
24	4	10
24	0	8
24	6	6
24	4	7
24	14	7
24	0	7
24	4	8
24	10	9
24	8	10
24	8	10
24	2	9
24	2	9
24	2	7
24	6	8
24	4	8
24	2	9
24	4	11
24	0	8
24	2	10
24	4	9
24	0	9
24	6	7
24	14	10
24	2	9
24	2	8
24	0	9
24	2	8
24	0	10
24	6	8
24	0	8
24	0	9
24	6	11
24	8	9
24	0	7
24	2	9
24	4	8
24	6	9
24	4	8
24	2	9
24	4	7
24	4	5
24	10	10
24	6	9
24	2	7
24	6	8
24	0	9
24	8	9
24	4	8
24	18	9
24	10	8
24	14	7
24	0	7
24	4	8
24	10	9
24	0	6
24	2	8
24	6	9
24	10	9
24	2	7
24	2	9
24	2	9
24	16	10
24	2	8
24	8	9
24	12	7
24	6	8
24	18	7
24	0	7
24	10	8
24	2	9
24	6	9
24	12	8
24	4	7
24	2	7
24	4	8
